"ID","age","color","island","college","income","antennae","politics","anxiety","depression","sociable","control","memory","intelligence","time1","time2","time3","food1","sleep","food2","reasoning_trials"
1,33,"Blue","1st","C",27000,"Curly","Republicant",46,92,108,68,94,119,5.86,4.36,4.11,5,6,9,1
2,47,"Pink","3rd","C",124000,"Straight","Independone",49,94,110,72,109,127,5.07,4.35,4.97,8,7.8,11,1
3,39,"Pink","3rd","D",43000,"Straight","Democrulite",51,119,79,62,83,112,5.66,6.13,6.15,7,4.4,9,1
4,24,"Pink","1st","D",46000,"Straight","Republicant",45,92,117,65,88,115,7.81,8.13,6.12,6,6,9,1
5,53,"Pink","1st","D",44000,"Straight","Democrulite",46,93,109,56,106,122,5.04,4.55,4.15,8,4.8,9,1
6,36,"Blue","1st","B",28000,"Curly","Republicant",49,98,101,49,103,104,4.81,3.65,5.11,10,5.5,7,1
7,58,"Pink","2nd","B",29000,"Curly","Democrulite",60,107,89,42,71,86,4.88,4.09,4.35,13,4,8,1
8,25,"Pink","1st","D",37000,"Straight","Republicant",51,99,101,55,94,116,4.24,3.8,2.69,7,6.6,9,1
9,38,"Pink","2nd","B",35000,"Straight","Democrulite",52,83,105,68,102,108,4.69,3.35,3.89,7,3.2,6,1
10,40,"Pink","3rd","B",33000,"Straight","Independone",48,106,93,56,101,104,4.78,3.89,3.04,11,5.7,7,1
11,48,"Blue","1st","C",46000,"Straight","Republicant",58,109,94,56,93,115,5.27,5.37,4.37,9,6.4,8,4
12,56,"Pink","2nd","B",71000,"Straight","Democrulite",56,116,82,61,78,94,9.43,9.92,8.58,9,6.1,12,2
13,44,"Blue","2nd","B",25000,"Straight","Independone",49,98,102,74,96,106,8.82,7.22,8.69,7,6.9,7,1
14,40,"Pink","3rd","D",33000,"Straight","Independone",45,100,100,56,95,117,4.99,3.49,5.48,12,7.5,7,4
15,61,"Pink","2nd","B",38000,"Straight","Democrulite",52,106,90,40,77,88,4.98,3.52,4.91,6,5.3,8,5
16,14,"Pink","2nd","A",28000,"Straight","Independone",58,99,101,82,86,104,5.26,5.03,4.02,10,5.6,6,3
17,62,"Pink","1st","A",51000,"Straight","Democrulite",49,107,92,56,84,96,8.87,9.28,9.17,7,7.6,9,2
18,59,"Pink","3rd","A",85000,"Straight","Independone",48,121,72,61,88,99,4.93,3.03,4.3,13,6.5,10,2
19,47,"Pink","3rd","D",53000,"Straight","Democrulite",43,83,123,54,93,115,6.13,5.1,6.46,10,6.9,8,2
20,40,"Pink","3rd","A",60000,"Curly","Republicant",47,86,103,65,88,100,4.79,5.04,3.73,9,5.1,8,4
21,34,"Pink","1st","A",219000,"Straight","Democrulite",50,87,114,54,107,107,21.79,19.9,21.25,7,7.4,10,1
22,44,"Blue","3rd","C",21000,"Curly","Independone",56,110,94,55,69,103,6.97,5.61,5.59,6,5.6,8,3
23,48,"Blue","1st","C",54000,"Curly","Independone",49,99,101,86,81,117,4.69,3.13,4.7,7,5.8,10,3
24,51,"Pink","3rd","C",104000,"Straight","Independone",52,109,87,70,81,113,4.65,3.62,3.65,11,5.9,9,6
25,12,"Pink","1st","D",116000,"Straight","Independone",44,84,114,39,110,120,4.58,3.35,4.47,10,7.4,11,1
26,18,"Blue","2nd","B",31000,"Straight","Democrulite",55,114,71,64,107,110,4.75,3.2,4.35,6,7,11,1
27,20,"Pink","1st","A",36000,"Straight","Independone",47,86,117,69,92,103,4.2,3.1,2.59,13,4.5,11,2
28,69,"Pink","3rd","C",25000,"Straight","Independone",56,106,93,53,76,106,5.77,5.4,4.94,10,7.4,8,3
29,12,"Pink","1st","C",27000,"Curly","Democrulite",45,90,106,71,95,120,5.64,5.42,3.94,9,6,9,1
30,44,"Pink","2nd","C",33000,"Straight","Republicant",52,100,100,65,91,117,8.4,7.89,7.67,9,7.3,8,3
31,49,"Blue","1st","D",131000,"Straight","Republicant",51,103,96,68,83,113,7.89,6,7.84,6,6.3,7,5
32,65,"Pink","3rd","D",116000,"Straight","Independone",46,105,94,41,91,111,6.02,5.1,4.46,8,6.1,5,1
33,11,"Pink","3rd","B",110000,"Curly","Democrulite",35,72,128,61,109,110,9.03,8.4,8.48,8,5.3,9,2
34,70,"Pink","3rd","B",89000,"Straight","Independone",45,81,114,53,73,90,7.09,6.71,7.15,10,7.6,8,2
